ID,维度,标题,优先级,前置条件,测试数据,操作步骤,预期结果,指引来源,关联工具,自动化建议,展开规则,生成时间,设计状态,终端覆盖类型,terminal,agent,OS,Node/npm,shell,TTY,installLayout,mcpTransport,hookSupport,requiredEvidence,owner,依赖,执行状态,执行时间,evidencePath,blockedReason
D4-19,D4安全,确认流下预检仍生效,P0,真云,高危操作进入确认流,①高危写操作 ②确认流程中观察preflight检查 ③验证拦截,确认流程中风险预检仍生效拦截,仓: fix/issue-443-preflight-b1b2分支(双修复),hook_check_command/hook_check_artifacts/hook_check_deploy_plan,半自动,CLIENT_MATRIX|<代表: 安全基线 Hermes+OpenCode>|<证据: 确认流预检拦截>|<阻塞: 高危操作构造>,2026-09-05,DESIGN_COVERED,CLIENT_MATRIX,<代表: 安全基线 Hermes+OpenCode>,Hermes（Hook）; OpenCode（非 Hook）,Windows/Linux；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,Hermes=Hook; OpenCode=非Hook,强断言：<证据: 确认流预检拦截>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165637,evidence/D4-19,
D4-20,D4安全,拒绝后零操作,P1,真云,确认流选择拒绝,①确认流选拒绝 ②检查云资源与命令执行痕迹,拒绝后无任何资源变更、无命令执行,通: 负向路径; 仓: confirm杜绝误执行意图,run_approved_command,半自动,COMMON|<代表: hook=Hermes 非hook=OpenCode>|<证据: 拒绝后无资源变更无执行>|<阻塞: 需hook-capable客户端>,2026-09-05,DESIGN_COVERED,COMMON,<代表: hook=Hermes 非hook=OpenCode>,Hermes（Hook）; OpenCode（非 Hook）,Windows/Linux；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,Hermes=Hook; OpenCode=非Hook,强断言：<证据: 拒绝后无资源变更无执行>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165637,evidence/D4-20,
D2-1,D2认证,auth init三端同步,P1,AK/SK+本地凭证文件,auth init,①源码级: 隔离HOME+假凭证执行auth init ②核对KooCLI/OBS/沙箱三端配置文件落位(路径+格式) ③真云E2E: 真实凭证下核对三端API实际可用,"源码级断言: 三端配置文件均落位(路径+格式,任一端缺失即缺陷); 真云E2E断言: 三端API实际可用","P: README 'Synchronizes AK/SK to KooCLI, OBS, and sandbox APIs in one step'",huaweicloud_auth_init,半自动,COMMON|<代表: Hermes 或 OpenCode>|<证据: 三端落位(KooCLI/OBS/沙箱)>|<阻塞: 需真云凭证>,2026-09-05,DESIGN_COVERED,COMMON,<代表: Hermes 或 OpenCode>,Hermes 代表终端; fake/fixture,Windows/Linux 代表环境；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: 三端落位(KooCLI/OBS/沙箱)>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165637,evidence/D2-1,
D2-2,D2认证,auth status判定准确性,P2,三端就绪状态可组合环境,auth status,①构造三端×就绪/未就绪8种组合 ②逐一核对status判定,组合枚举判定准确，部分就绪场景明确标识,P: tools.mjs注册; 通: 组合枚举,auth_status,脚本,COMMON|<代表: Hermes 或 OpenCode>|<证据: 三端就绪组合枚举判定>|<阻塞: 需真云凭证>,2026-09-05,DESIGN_COVERED,COMMON,<代表: Hermes 或 OpenCode>,Hermes 代表终端; fake/fixture,Windows/Linux 代表环境；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: 三端就绪组合枚举判定>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165637,evidence/D2-2,
D2-4,D2认证,凭证脱敏正确性,P0,真云凭证,show_profile_redacted,①执行脱敏展示 ②检查输出: AK中段、SK永不完整,输出无明文凭证字段,P: safety-model自动脱敏; nightly铁律3,show_profile_redacted,脚本,COMMON|<代表: Hermes 或 OpenCode>|<证据: 输出无明文 AK/SK>|<阻塞: 需真云凭证>,2026-09-05,DESIGN_COVERED,COMMON,<代表: Hermes 或 OpenCode>,Hermes 代表终端; fake/fixture,Windows/Linux 代表环境；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: 输出无明文 AK/SK>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165524,evidence/D2-4,
D2-5,D2认证,凭证缺失报错指引,P1,无凭证/错误凭证/过期凭证环境,缺失/错误/过期凭证调用,①无凭证调用 ②错误AK ③过期AK ④记录报错与指引,明确报错+可执行指引(非裸堆栈),通: 负向路径; nightly铁律2 缺口即记录,huaweicloud_auth_init/auth_status,半自动,COMMON|<代表: Hermes 或 OpenCode>|<证据: 报错+可执行指引(非裸堆栈)>|<阻塞: 需真云凭证>,2026-09-05,DESIGN_COVERED,COMMON,<代表: Hermes 或 OpenCode>,Hermes 代表终端; fake/fixture,Windows/Linux 代表环境；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: 报错+可执行指引(非裸堆栈)>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165524,evidence/D2-5,
D2-26,D2认证,凭证备份与恢复,P1,已同步凭证的隔离 HOME,backupGlobalCredentials/restoreGlobalCredentialsBackup,①backupGlobalCredentials ②核对备份文件写入 ③破坏主凭证 ④restoreGlobalCredentialsBackup ⑤核对还原,备份/恢复闭环：备份写入独立文件、恢复后凭证与备份一致、恢复幂等不报错,实: credentials.backupGlobalCredentials(350)/restoreGlobalCredentialsBackup(363),huaweicloud_auth_sync,脚本,COMMON|<代表: 隔离 HOME>|<证据: 备份文件+恢复比对>|<阻塞: 需真云凭证>,2026-09-19,DESIGN_COVERED,COMMON,<代表: 隔离 HOME>,Hermes 代表终端; fake/fixture,Windows/Linux 代表环境；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: 备份文件+恢复比对>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165524,evidence/D2-26,
D2-27,D2认证,KooCLI 版本管理,P2,package.json 含 kooCliVersion,7.2.12/7.2.9 等版本串,"①getKooCliVersion ②parseHcloudVersion('hcloud 7.2.12 ...') ③compareVersion(7.2.12,7.2.9) ④kooCliDownloadBase",getKooCliVersion 读 kooCliVersion；parseHcloudVersion 正则提取首个 x.y.z；compareVersion 正确比较；downloadBase=KOO_CLI_BASE/<version或latest>,实: koocli-version.getKooCliVersion(12)/parseHcloudVersion(21)/compareVersion(27)/kooCliDownloadBase(45)/KOO_CLI_BASE(8),auth_status,脚本,COMMON|<代表: 隔离进程>|<证据: 版本解析/比较/下载基址>|<阻塞: 无>,2026-09-19,DESIGN_COVERED,COMMON,<代表: 隔离进程>,Hermes 代表终端; fake/fixture,Windows/Linux 代表环境；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: 版本解析/比较/下载基址>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165524,evidence/D2-27,
D3-A1,D3功能,skill检索完整性,P1,本地~30个SKILL.md,各skill名称关键词,①用retrieve_skill/search_docs逐一检索30个skill ②核对返回完整内容,全部可检索且完整拉取，索引无缺口,P: 工具描述'complete skill content'; 源码SKILL.md清单,retrieve_skill/search_docs,脚本,COMMON|<代表: Hermes>|<证据: 全量 skill 可检索完整拉取>|<阻塞: 按用例需真云>,2026-09-05,DESIGN_COVERED,COMMON,<代表: Hermes>,Hermes 代表终端; fake/fixture,Windows/Linux 代表环境；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: 全量 skill 可检索完整拉取>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165524,evidence/D3-A1,
D3-B1,D3功能,list_operations规范名,P2,hcloud可用,代表服务操作查询,①list_operations ECS/VPC/OBS ②核对操作名与官方一致,返回规范操作名，不依赖猜测,P: capability-discovery规则5,list_operations,脚本,COMMON|<代表: Hermes>|<证据: 规范操作名与官方一致>|<阻塞: 按用例需真云>,2026-09-05,DESIGN_COVERED,COMMON,<代表: Hermes>,Hermes 代表终端; fake/fixture,Windows/Linux 代表环境；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: 规范操作名与官方一致>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165524,evidence/D3-B1,
D3-B3,D3功能,run_readonly脱敏执行,P1,真云账号,只读命令执行,①run_readonly_command执行只读命令 ②检查输出脱敏 ③核对无写入,执行成功+输出脱敏,P: tools.mjs描述redact承诺,run_readonly_command,半自动,COMMON|<代表: Hermes>|<证据: 执行成功+输出脱敏+无写入>|<阻塞: 按用例需真云>,2026-09-05,DESIGN_COVERED,COMMON,<代表: Hermes>,Hermes 代表终端; fake/fixture,Windows/Linux 代表环境；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: 执行成功+输出脱敏+无写入>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165637,evidence/D3-B3,
D3-B5,D3功能,detect_framework识别,P2,本地项目样本,13 种框架样例工程(+monorepo),①准备 13 框架工程(+monorepo) ②detect_framework ③核对框架/构建/端口,识别准确且给出构建产物/端口,"P: 工具描述枚举; 注:工具描述列11框架,源码FRAMEWORKS实为13框架+monorepo(漏Static Site) + 既有单测契约",detect_framework,脚本,COMMON|<代表: Hermes>|<证据: 11 框架识别准确>|<阻塞: 按用例需真云>,2026-09-05,DESIGN_COVERED,COMMON,<代表: Hermes>,Hermes 代表终端; fake/fixture,Windows/Linux 代表环境；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: 11 框架识别准确>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165524,evidence/D3-B5,
D3-C4,D3功能,服务创建类回归,P1,真云+最小权限AK/SK,22服务只读规划+高危轻量创建释放,①逐服务list_operations+plan只读 ②高危服务轻量创建(最小规格) ③立即释放,全部服务有规范路由且可执行,P: 20+服务承诺; 标: Azure按service分域,plan_cli_command/run_approved_command,半自动,CLIENT_MATRIX|<代表: 22 服务矩阵>|<证据: 逐服务只读规划>|<阻塞: 高危服务轻量创建>,2026-09-05,DESIGN_COVERED,CLIENT_MATRIX,<代表: 22 服务矩阵>,Hermes 代表终端; fake/fixture,Windows/Linux 代表环境；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: 逐服务只读规划>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165637,evidence/D3-C4,
D3-C5,D3功能,工具冒烟,P1,环境就绪,check_cli/list_operations/plan/explain_error,①四工具快速调用 ②全部通过,冒烟快速全通,P: nightly场景C原样复用,check_cli/list_operations/plan_cli_command/explain_error,脚本,COMMON|<代表: Hermes>|<证据: 四工具冒烟全通>|<阻塞: 按用例需真云>,2026-09-05,DESIGN_COVERED,COMMON,<代表: Hermes>,Hermes 代表终端; fake/fixture,Windows/Linux 代表环境；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: 四工具冒烟全通>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165524,evidence/D3-C5,
D3-C13,D3功能,OBS 静态网站托管配置,P1,真云 OBS bucket + AK/SK,obs_set_website_config get/set/delete,①get 未配置 bucket ②set indexDocument ③get 核对 ④delete ⑤无 indexDocument set 报错,get/set/delete 走 AWS4 签名 REST；set 必须 indexDocument(缺失报错)；errorDocument 可选；返回 status 与 XML 一致,实: tools.handleObsWebsiteConfig(2303)/obsSignedRequest,huaweicloud_obs_set_website_config,脚本,COMMON|<代表: 真云 OBS>|<证据: 配置 XML+状态码>|<阻塞: 需真云 bucket>,2026-09-05,DESIGN_COVERED,COMMON,<代表: 真云 OBS>,Hermes 代表终端; fake/fixture,Windows/Linux 代表环境；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: 配置 XML+状态码>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165637,evidence/D3-C13,
D3-C14,D3功能,沙箱 HDKit 服务参数与 hwlink 凭证,P2,沙箱 DevStation 配额,hdkitConnect(source/env/git/template_id/flavor_id) + hwlink createConnection,①hdkitConnect 带 source/env ②hdkitCredentials 缺 sessionId+devStageId 报错 ③hwlink getCredentials ④createConnection,"hdkitConnect 透传可选参数到 body；hdkitCredentials 缺 sessionId 且缺 devStageId 时报错；hwlink getCredentials 返回 {ak,sk,securitytoken}；createConnection 用 securitytoken 走 x-security-token 签名头",实: hdkitservice-api.hdkitConnect(90)/hdkitCredentials(101); hwlink-api.getCredentials(80)/createConnection(122),sandbox_connect/sandbox_credentials,半自动,COMMON|<代表: Hermes 沙箱>|<证据: 参数透传+凭证结构>|<阻塞: 需沙箱配额>,2026-09-05,DESIGN_COVERED,COMMON,<代表: Hermes 沙箱>,Hermes 代表终端; fake/fixture,Windows/Linux 代表环境；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: 参数透传+凭证结构>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165524,evidence/D3-C14,
D3-S1,D3功能,场景-只读查ECS(带不改约束),P1,真云凭证 + 至少1台ECS,提示语「列出cn-north-4的ECS，只读不改」,①serviceCatalog(意图) 路由→huawei-ecs/ECS ②run_readonly_command 执行 ListServersDetails ③核对输出含实例清单 ④断言全程无任何写工具(create/delete/plan_cli)调用,路由命中 ecs；只读命令返回实例清单；会话期间零写操作，用户「不要修改」约束被忠实遵守,实: tools.serviceCatalog(1776) routeMap ecs; run_readonly_command,service_catalog/run_readonly_command,脚本,COMMON|<代表: Hermes>|<证据: 路由+只读清单+零写调用>|<阻塞: 需真云只读凭证>,2026-09-19,DESIGN_COVERED,COMMON,<代表: Hermes>,Hermes 代表终端; fake/fixture,Windows/Linux 代表环境；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: 路由+只读清单+零写调用>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165637,evidence/D3-S1,
D3-S2,D3功能,场景-删VPC先确认,P1,真云测试VPC,提示语「删除测试VPC，先列命令确认」,①serviceCatalog 路由→huawei-vpc/VPC ②plan_cli_command 生成 DeleteVpc 命令块 ③hook_check_command 预检 ④未确认前断言零执行 ⑤确认后 run_approved_command 执行 ⑥核对 VPC 已删且资源归零,先出命令块等待确认，未确认时零执行；确认后删除成功且归零,实: plan_cli_command/hook_check_command/run_approved_command; serviceCatalog vpc 路由,plan_cli_command/hook_check_command/run_approved_command,半自动,COMMON|<代表: Hermes>|<证据: 命令块+确认前后执行态>|<阻塞: 需真云写凭证>,2026-09-19,DESIGN_COVERED,COMMON,<代表: Hermes>,Hermes 代表终端; fake/fixture,Windows/Linux 代表环境；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: 命令块+确认前后执行态>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165637,evidence/D3-S2,
D3-S3,D3功能,场景-沙箱预览出URL,P1,沙箱配额 + 前端项目,提示语「部署当前项目到沙箱给我预览链接」,①serviceCatalog 路由→sandbox ②check_user→sign_agreement→connect ③upload_project ④deploy_nginx+deploy_check ⑤核对返回公网URL可访问(HTTP 200) ⑥close_session,终点必返回可访问公网URL；会话可正常关闭；无计费资源残留,实: sandbox 工具链; capability-discovery Scenario Routing 沙箱优先,sandbox_connect/sandbox_upload_project/sandbox_deploy_nginx/sandbox_deploy_check/sandbox_close_session,半自动,COMMON|<代表: Hermes>|<证据: 预览URL可访问>|<阻塞: 需沙箱配额>,2026-09-19,DESIGN_COVERED,COMMON,<代表: Hermes>,Hermes 代表终端; fake/fixture,Windows/Linux 代表环境；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: 预览URL可访问>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923170034,evidence/D3-S3,
D3-S4,D3功能,场景-领券闭环,P1,未领取代金券的IAM账号,提示语「查能否领券，能领就领」,①voucher_status 查状态=claimed=false ②voucher_claim 领取 ③再 voucher_status 核对 claimed=true,status→claim→status 闭环连贯，领取后状态翻转为 claimed=true,实: tools hdkitVoucherStatus/hdkitVoucherClaim,voucher_status/voucher_claim,半自动,COMMON|<代表: Hermes>|<证据: 状态翻转闭环>|<阻塞: 需未领券账号>,2026-09-19,DESIGN_COVERED,COMMON,<代表: Hermes>,Hermes 代表终端; fake/fixture,Windows/Linux 代表环境；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: 状态翻转闭环>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165637,evidence/D3-S4,
D3-S5,D3功能,场景-复合意图分层路由,P2,无(纯路由),复合意图「物联网+时序数据+前端托管」,①serviceCatalog(复合中文意图) ②核对命中多个 service(存储 DDS/GaussDB + 托管 OBS/ECS) ③核对分层推荐(预览→沙箱/生产→ECS),复合意图正确拆分并命中多个对应 service；分层推荐按预览/生产分流，不盲选单一服务,实: serviceCatalog routeMap + capability-discovery Scenario Routing,service_catalog,脚本,COMMON|<代表: Hermes>|<证据: 多路命中+分层推荐>|<阻塞: 无>,2026-09-19,DESIGN_COVERED,COMMON,<代表: Hermes>,Hermes 代表终端; fake/fixture,Windows/Linux 代表环境；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: 多路命中+分层推荐>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,FAIL,20260923165524,evidence/D3-S5,
D3-S6,D3功能,场景-FunctionGraph定时任务,P2,真云 FunctionGraph 配额,提示语「部署Python函数，每天定时执行」,①serviceCatalog 路由→huawei-functiongraph/FunctionGraph ②hcloud FunctionGraph CreateFunction ③配置定时触发器 ④核对返回函数URN/触发器绑定,函数创建成功+定时触发器绑定，返回可调用标识,实: serviceCatalog functiongraph 路由; hcloud-cli FunctionGraph CreateFunction,plan_cli_command/run_approved_command,半自动,COMMON|<代表: Hermes>|<证据: 函数URN+触发器>|<阻塞: 需真云FG配额>,2026-09-19,DESIGN_COVERED,COMMON,<代表: Hermes>,Hermes 代表终端; fake/fixture,Windows/Linux 代表环境；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: 函数URN+触发器>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,FAIL,20260923165524,evidence/D3-S6,
D3-S7,D3功能,场景-跨服务交付(Web应用+RDS)并归零,P1,真云凭证 + 沙箱/RDS 配额,提示语「部署一个带 MySQL 数据库的 Web 应用」,①serviceCatalog 复合意图→命中 RDS + 部署目标(sandbox/ECS) ②建 RDS 实例 ③建沙箱/部署 Web ④配连接串(数据库地址注入应用) ⑤验证应用可访问且读写库正常 ⑥测后 close_session + 删除本次创建的 RDS/资源,多服务编排顺序正确(先建库后部署)；连接串正确注入；应用可访问且读写库正常；测后仅本次创建的 RDS/沙箱被清理归零，零残留,实: serviceCatalog 多路命中 + capability-discovery Scenario Routing; RDS/sandbox 工具链,sandbox_connect/sandbox_deploy_nginx/plan_cli_command/run_approved_command,半自动,COMMON|<代表: Hermes>|<证据: 编排顺序+连接串注入+归零>|<阻塞: 需真云RDS/sandbox配额>,2026-09-19,DESIGN_COVERED,COMMON,<代表: Hermes>,Hermes 代表终端; fake/fixture,Windows/Linux 代表环境；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: 编排顺序+连接串注入+归零>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,FAIL,20260923165524,evidence/D3-S7,
D3-S8,D3功能,场景-操作失败后排障指引,P1,真云凭证(可注入失效/过期凭证),注入权限不足错误(如 APIGW.0301/APIGW.0802 或 PolicyNotAuthorized),①注入凭证过期/权限不足场景 ②触发一次失败命令 ③核对 AI 走 troubleshooting 分类(权限 vs 区域 vs 配额) ④断言给出可执行下一步(如「用 IAM KeystoneListProjects 查project_id」而非裸报错堆栈),失败被正确分类(权限/区域/配额)；给出可执行的下一步检查命令，非裸报错或空堆栈,实: tools.explain_error(363)/extractApiError(559); huaweicloud-troubleshooting workflow,explain_error/run_readonly_command,脚本,COMMON|<代表: Hermes>|<证据: 失败分类+可执行下一步>|<阻塞: 可注入失效凭证>,2026-09-19,DESIGN_COVERED,COMMON,<代表: Hermes>,Hermes 代表终端; fake/fixture,Windows/Linux 代表环境；macOS 若声明支持则单独举证,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,强断言：<证据: 失败分类+可执行下一步>；保留脱敏日志、manifest、前后快照,测试负责人,需求来源与前置条件；独立 manifest；finally 清理,PASS,20260923165524,evidence/D3-S8,
